title,openreview_link,authors
A Generative Pre-Training Framework for Spatio-Temporal Graph Transfer Learning,https://iclr.cc/virtual/2024/poster/18659,"Yuan Yuan, Chenyang Shao, Jingtao Ding, Depeng Jin, Yong Li"
Learning Multi-Agent Communication from Graph Modeling Perspective,https://iclr.cc/virtual/2024/poster/18666,"Shengchao Hu, Li Shen, Ya Zhang, Dacheng Tao"
Less is More: One-shot Subgraph Reasoning on Large-scale Knowledge Graphs,https://iclr.cc/virtual/2024/poster/18681,"Zhanke Zhou, Yongqi Zhang, Jiangchao Yao, Quanming Yao, Bo Han"
From Matching to Mixing: A Graph Interpolation Approach for SAT Instance Generation,https://iclr.cc/virtual/2024/poster/18702,"Xinyan Chen, Yang Li, Runzhong Wang, Junchi Yan"
From Latent Graph to Latent Topology Inference: Differentiable Cell Complex Module,https://iclr.cc/virtual/2024/poster/19619,"Claudio Battiloro, Indro Spinelli, Lev Telyatinkov, Michael Bronstein, Simone Scardapane, Paolo Di Lorenzo"
Biased Temporal Convolution Graph Network for Time Series Forecasting with Missing Values.,https://iclr.cc/virtual/2024/poster/18754,"Xiaodan Chen, Xiucheng Li, Bo Liu, Zhijun Li"
InstructScene: Instruction-Driven 3D Indoor Scene Synthesis with Semantic Graph Prior,https://iclr.cc/virtual/2024/poster/18845,"Chenguo Lin, Yadong MU"
A Graph is Worth 1-bit Spikes: When Graph Contrastive Learning Meets Spiking Neural Networks,https://iclr.cc/virtual/2024/poster/18850,"Jintang Li, Huizhe Zhang, Ruofan Wu, Zulun Zhu, Baokun Wang, Changhua Meng, Zibin Zheng, Liang Chen"
HiGen: Hierarchical Graph Generative Networks,https://iclr.cc/virtual/2024/poster/18909,Mahdi Karami
Davidsonian Scene Graph: Improving Reliability in Fine-grained Evaluation for Text-Image Generation,https://iclr.cc/virtual/2024/poster/18963,"Jaemin Cho, Yushi Hu, Jason Baldridge, Roopal Garg, Peter Anderson, Ranjay Krishna, Mohit Bansal, Jordi Pont-Tuset, Su Wang"
GraphGuard: Provably Robust Graph Classification against Adversarial Attacks,https://iclr.cc/virtual/2024/poster/18970,"Zaishuo Xia, Han Yang, Binghui Wang, Jinyuan Jia"
Beyond Weisfeiler-Lehman: A Quantitative Framework for GNN Expressiveness,https://iclr.cc/virtual/2024/poster/18994,"Bohang Zhang, Jingchu Gai, Yiheng Du, Qiwei Ye, Di He, Liwei Wang"
HoloNets: Spectral Convolutions do extend to Directed Graphs,https://iclr.cc/virtual/2024/poster/19097,"Christian Koke, Daniel Cremers"
Rethinking Label Poisoning for GNNs: Pitfalls and Attacks,https://iclr.cc/virtual/2024/poster/18946,"Vijay Chandra Lingam, Mohammad Sadegh Akhondzadeh, Aleksandar Bojchevski"
Long-range Neural Atom Learning for Molecular Graphs,https://iclr.cc/virtual/2024/poster/19172,"Xuan Li, Zhanke Zhou, Jiangchao Yao, Yu Rong, Lu Zhang, Bo Han"
Graph-based Virtual Sensing from Sparse and Partial Multivariate Observations,https://iclr.cc/virtual/2024/poster/19185,"Giovanni De Felice, Andrea Cini, Daniele Zambon, Vladimir Gusev, Cesare Alippi"
Complete and Efficient Graph Transformers for Crystal Material Property Prediction,https://iclr.cc/virtual/2024/poster/19203,"Keqiang Yan, Cong Fu, Xiaofeng Qian, Xiaoning Qian, Shuiwang Ji"
Forward Learning of Graph Neural Networks,https://iclr.cc/virtual/2024/poster/19252,"Namyong Park, Xing Wang, Antoine Simoulin, Shuai Yang, Grey Yang, Ryan Rossi, Puja Trivedi, Nesreen Ahmed"
Causality-Inspired Spatial-Temporal Explanations for Dynamic Graph Neural Networks,https://iclr.cc/virtual/2024/poster/19267,"Kesen Zhao, Liang Zhang"
Local Graph Clustering with Noisy Labels,https://iclr.cc/virtual/2024/poster/19337,"Artur Back de Luca, Kimon Fountoulakis, Shenghao Yang"
Rethinking and Extending the Probabilistic Inference Capacity of GNNs,https://iclr.cc/virtual/2024/poster/19345,"Tuo Xu, Lei Zou"
Robust Angular Synchronization via Directed Graph Neural Networks,https://iclr.cc/virtual/2024/poster/19411,"Yixuan He, Gesine Reinert, David Wipf, Mihai Cucuringu"
TEDDY: Trimming Edges with Degree-based Graph Diffusion Strategy,https://iclr.cc/virtual/2024/poster/19426,"Hyunjin Seo, Jihun Yun, Eunho Yang"
Locality-Aware Graph Rewiring in GNNs,https://iclr.cc/virtual/2024/poster/19465,"Federico Barbero, Ameya Velingker, Amin Saberi, Michael Bronstein, Francesco Di Giovanni"
Rayleigh Quotient Graph Neural Networks for Graph-level Anomaly Detection,https://iclr.cc/virtual/2024/poster/19466,"Xiangyu Dong, Xingyi Zhang, Sibo WANG"
BroGNet: Momentum-Conserving Graph Neural Stochastic Differential Equation for Learning Brownian Dynamics,https://iclr.cc/virtual/2024/poster/19540,"Suresh Bishnoi, Jayadeva Jayadeva, Sayan Ranu, N. M. Anoop Krishnan"
Efficient and Scalable Graph Generation through Iterative Local Expansion,https://iclr.cc/virtual/2024/poster/19545,"Andreas Bergmeister, Karolis Martinkus, Nathanaël Perraudin, Roger Wattenhofer"
GOAt: Explaining Graph Neural Networks via Graph Output Attribution,https://iclr.cc/virtual/2024/poster/19551,"Shengyao Lu, Keith G Mills, Jiao He, Bang Liu, Di Niu"
Energy-conserving equivariant GNN for elasticity of lattice architected metamaterials,https://iclr.cc/virtual/2024/poster/17634,"Ivan Grega, Ilyes Batatia, Gábor Csányi, Sri Karlapati, Vikram Deshpande"
A Poincaré Inequality and Consistency Results for Signal Sampling on Large Graphs,https://iclr.cc/virtual/2024/poster/17949,"Thien Le, Luana Ruiz, Stefanie Jegelka"
