title,openreview_link,authors
LanguageBind: Extending Video-Language Pretraining to N-modality by Language-based Semantic Alignment,https://iclr.cc/virtual/2024/poster/18668,"Bin Zhu, Bin Lin, Munan Ning, YANG YAN, Jiaxi Cui, WANG HongFa, Yatian Pang, Wenhao Jiang, Junwu Zhang, Zongwei Li, Cai Zhang, Zhifeng Li, Wei Liu, Yuan Li"
GPT-4 Is Too Smart To Be Safe: Stealthy Chat with LLMs via Cipher,https://iclr.cc/virtual/2024/poster/18817,"Youliang Yuan, Wenxiang Jiao, Wenxuan Wang, Jen-tse Huang, Pinjia He, Shuming Shi, Zhaopeng Tu"
Novel Quadratic Constraints for Extending LipSDP beyond Slope-Restricted Activations,https://iclr.cc/virtual/2024/poster/18983,"Patricia Pauli, Aaron Havens, Alexandre Araujo, Siddharth Garg, Farshad Khorrami, Frank Allgöwer, Bin Hu"
AnimateDiff: Animate Your Personalized Text-to-Image Diffusion Models without Specific Tuning,https://iclr.cc/virtual/2024/poster/19044,"Yuwei GUO, Ceyuan Yang, Anyi Rao, Zhengyang Liang, Yaohui Wang, Yu Qiao, Maneesh Agrawala, Dahua Lin, Bo DAI"
Statistically Optimal $K$-means Clustering via Nonnegative Low-rank Semidefinite Programming,https://iclr.cc/virtual/2024/poster/17550,"Yubo Zhuang, Xiaohui Chen, Yun Yang, Richard Zhang"
DMBP: Diffusion model-based predictor for robust offline reinforcement learning against state observation perturbations,https://iclr.cc/virtual/2024/poster/18394,"Zhihe Yang, Yunjian Xu"
Structural Inference with Dynamics Encoding and Partial Correlation Coefficients,https://iclr.cc/virtual/2024/poster/18578,"Aoran Wang, Jun Pang"
Robust Adversarial Reinforcement Learning via Bounded Rationality Curricula,https://iclr.cc/virtual/2024/poster/17780,"Aryaman Reddi, Maximilian Tölle, Jan Peters, Georgia Chalvatzaki, Carlo D'Eramo"
Increasing Model Capacity for Free: A Simple Strategy for Parameter Efficient Fine-tuning,https://iclr.cc/virtual/2024/poster/19009,"Haobo SONG, Hao Zhao, Soumajit Majumder, Tao Lin"
AutoChunk: Automated Activation Chunk for Memory-Efficient Deep Learning Inference,https://iclr.cc/virtual/2024/poster/19032,"Xuanlei Zhao, Shenggan Cheng, Guangyang LU, Haotian Zhou, Bin Jia, Yang You"
Making Pre-trained Language Models Great on Tabular Prediction,https://iclr.cc/virtual/2024/poster/18356,"Jiahuan Yan, Bo Zheng, Hongxia Xu, Yiheng Zhu, Danny Chen, Jimeng Sun, Jian Wu, Jintai Chen"
BayesDiff: Estimating Pixel-wise Uncertainty in Diffusion via Bayesian Inference,https://iclr.cc/virtual/2024/poster/18418,"Siqi Kou, Lei Gan, Dequan Wang, Chongxuan Li, Zhijie Deng"
Consistent4D: Consistent 360° Dynamic Object Generation from Monocular Video,https://iclr.cc/virtual/2024/poster/17647,"Yanqin Jiang, Li Zhang, Jin Gao, Weiming Hu, Yao Yao"
